Field (T)	Resistance (Ohms)
-499.1434	2364675
-502.6171	2360644
-506.0734	2365848
-509.4105	2362303
-512.8427	2373241
-516.1951	2364308
-519.5719	2365155
-523.0439	2373878
-526.3463	2372475
-529.813	2370111
-533.1901	2366541
-536.6549	2373868
-539.9209	2367748
-543.4172	2364818
-546.7765	2366823
-550.1846	2368505
-553.6115	2365750
-557.0385	2368754
-560.4759	2363917
-563.7003	2362988
-567.1324	2366488
-570.4557	2361913
-574.0021	2363510
-578.2696	2371701
-581.3434	2370653
-584.9433	2363122
-588.2943	2363079
-591.7643	2371745
-595.1656	2366308
-598.5872	2370341
-601.9882	2366028
-605.1125	2364911
-608.5464	2365194
-612.1117	2365840
-615.5229	2367133
-618.7114	2361665
-622.396	2365314
-625.7365	2366505
-629.1755	2370804
-632.5523	2365698
-635.8463	2364486
-639.2902	2365966
-642.7502	2364403
-646.0842	2364142
-649.2996	2369390
-652.7405	2362534
-656.3075	2363366
-659.8014	2373921
-663.2515	2363034
-666.5348	2366787
-669.7455	2366255
-673.1916	2368544
-676.4957	2365085
-680.1614	2363685
-683.2318	2362545
-686.837	2354270
-690.0911	2366989
-693.6859	2370365
-697.0349	2370423
-700.4619	2359040
-703.9218	2356934
-707.3141	2360421
-710.6616	2379860
-713.8532	2357970
-717.5137	2358994
-720.9009	2357753
-724.2955	2365883
-727.7738	2367151
-731.1425	2366009
-734.3785	2353380
-738.0372	2363500
-741.4418	2361747
-744.9137	2362770
-748.3337	2362447
-751.6863	2363945
-755.0631	2360981
-758.4763	2368186
-761.8547	2363128
-765.2644	2363343
-768.726	2368182
-772.0958	2357796
-775.5107	2362286
-778.9186	2362081
-782.5722	2362084
-785.6341	2360258
-789.2445	2362485
-792.6801	2363319
-795.9221	2364869
-799.2484	2357670
-802.8553	2357545
-806.1942	2354668
-809.4205	2359917
-812.8683	2362541
-816.3472	2364094
-819.8068	2373646
-823.0551	2359811
-826.6844	2350488
-829.8768	2353613
-833.2708	2364909
-836.9416	2359171
-840.1075	2360145
-843.4653	2357072
-846.8801	2363898
-850.4349	2361336
-853.8533	2358504
-857.2665	2365599
-860.4114	2349433
-863.8608	2369492
-867.5179	2363196
-870.7356	2358976
-874.3753	2359490
-877.6686	2370225
-880.9127	2353163
-884.3085	2357991
-887.8755	2359824
-891.159	2359382
-894.4907	2349651
-897.8832	2365991
-900.3726	2363318
-902.2486	2354613
-903.7979	2362023
-905.5407	2356505
-907.2957	2363065
-908.9659	2363203
-910.7209	2361434
-912.4638	2362435
-914.0372	2359496
-915.7679	2370238
-917.4625	2366488
-919.2174	2364506
-920.8149	2351886
-922.5215	2362789
-924.2886	2363164
-925.9831	2356770
-927.5928	2358302
-929.3236	2356724
-931.1875	2361414
-932.7609	2359861
-934.4796	2358446
-936.2466	2366479
-937.929	2360190
-939.5145	2356954
-941.2332	2358710
-942.9881	2360502
-944.7189	2361030
-946.4739	2357238
-948.1441	2357782
-949.9233	2362356
-951.4725	2356870
-953.1428	2357266
-954.9099	2357824
-956.5317	2362898
-958.3834	2363633
-959.969	2351311
-961.6998	2369013
-963.4185	2364580
-965.1008	2361476
-966.8921	2357563
-968.4776	2358641
-970.3294	2362616
-971.927	2361548
-973.682	2356554
-975.3643	2360021
-976.9257	2362742
-978.8017	2360469
